Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,163.000000,-96.600000,0.000000,top
C2,0.1uF,C_0402_1005Metric,163.200000,-101.800000,0.000000,top
C3,0.1uF,C_0402_1005Metric,159.400000,-106.800000,-90.000000,top
C4,0.1uF,C_0402_1005Metric,152.800000,-97.400000,180.000000,top
C5,0.1uF,C_0402_1005Metric,157.800000,-93.200000,90.000000,top
C6,0.1uF,C_0402_1005Metric,158.800000,-91.600000,90.000000,top
C7,0.1uF,C_0402_1005Metric,152.000000,-102.000000,180.000000,top
C8,0.1uF,C_0402_1005Metric,161.200000,-96.200000,90.000000,top
C9,0.1uF,C_0402_1005Metric,162.600000,-98.400000,0.000000,top
C10,1uF,C_0402_1005Metric,160.200000,-95.800000,90.000000,top
C11,0.1uF,C_0402_1005Metric,156.800000,-92.800000,90.000000,top
C12,0.1uF,C_0402_1005Metric,160.800000,-107.200000,-90.000000,top
C13,10uF,C_0603_1608Metric,152.800000,-72.500000,180.000000,top
C14,10uF,C_0603_1608Metric,153.600000,-78.000000,180.000000,top
C15,33pF,C_0402_1005Metric,154.200000,-108.800000,-90.000000,top
C16,33pF,C_0402_1005Metric,159.400000,-108.800000,90.000000,top
C17,0.1uF,C_0402_1005Metric,155.225000,-92.200000,180.000000,top
J1,USB_conn,USB_A_PCB_Edge_receptacle,157.500000,-62.500000,-90.000000,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,148.610000,-72.870000,0.000000,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,166.390000,-72.870000,0.000000,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,154.960000,-120.890000,90.000000,top
R3,27,R_0402_1005Metric,158.200000,-95.400000,-90.000000,top
R4,27,R_0402_1005Metric,159.200000,-95.400000,90.000000,top
R5,1K,R_0402_1005Metric,157.550000,-106.550000,180.000000,top
R6,1K,R_0402_1005Metric,151.800000,-91.600000,-90.000000,top
R7,10K,R_0402_1005Metric,153.200000,-92.200000,180.000000,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,154.400000,-86.600000,180.000000,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,157.500000,-101.000000,0.000000,top
U2,MCP1700x-330xxTT,SOT-23,153.600000,-75.200000,90.000000,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,154.200000,-94.050000,0.000000,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,156.800000,-108.800000,180.000000,top
